Ім'я: Олена, Прізвище: Шевченко, Email: olena.shevchenko@gmail.com, Номер будинку: B1, Номер квартири: 101, Площа квартири: 34,80, Адреса будинку: Vyshneva, 1
Ім'я: Дарина, Прізвище: Петрук, Email: darina.petruc@gmail.com, Номер будинку: B10, Номер квартири: 137, Площа квартири: 76,00, Адреса будинку: Vyshneva, 10
Ім'я: Наталія, Прізвище: Приходько, Email: nataliya.prihodko@gmail.com, Номер будинку: B11, Номер квартири: 138, Площа квартири: 94,00, Адреса будинку: Vyshneva, 11
Ім'я: Оксана, Прізвище: Гринь, Email: oksana.grin@gmail.com, Номер будинку: B11, Номер квартири: 139, Площа квартири: 67,00, Адреса будинку: Vyshneva, 11
Ім'я: Анна, Прізвище: Смірнова, Email: anna.smirnova@gmail.com, Номер будинку: B11, Номер квартири: 140, Площа квартири: 99,00, Адреса будинку: Vyshneva, 11
Ім'я: Євген, Прізвище: Заєць, Email: yevhen.zayets@gmail.com, Номер будинку: B11, Номер квартири: 141, Площа квартири: 98,00, Адреса будинку: Vyshneva, 11
Ім'я: Вікторія, Прізвище: Шевчук, Email: viktoria.shevchuk@gmail.com, Номер будинку: B11, Номер квартири: 142, Площа квартири: 95,00, Адреса будинку: Vyshneva, 11
Ім'я: Олександра, Прізвище: Ткаченко, Email: oleksandra.tkachenko@gmail.com, Номер будинку: B12, Номер квартири: 143, Площа квартири: 99,00, Адреса будинку: Vyshneva, 12
Ім'я: Михайло, Прізвище: Гончаренко, Email: mikhailo.honcharenko@gmail.com, Номер будинку: B12, Номер квартири: 144, Площа квартири: 34,00, Адреса будинку: Vyshneva, 12
Ім'я: Тетяна, Прізвище: Коваленко, Email: tetiana.kovalenko@gmail.com, Номер будинку: B12, Номер квартири: 145, Площа квартири: 45,00, Адреса будинку: Vyshneva, 12
Ім'я: Олег, Прізвище: Сидоренко, Email: oleg.sydorenko@gmail.com, Номер будинку: B14, Номер квартири: 150, Площа квартири: 56,00, Адреса будинку: Vyshneva, 14
Ім'я: Роман, Прізвище: Савченко, Email: roman.savchenko@gmail.com, Номер будинку: B14, Номер квартири: 152, Площа квартири: 39,00, Адреса будинку: Vyshneva, 14
Ім'я: Дмитро, Прізвище: Тарасенко, Email: dmytro.tarasenko@gmail.com, Номер будинку: B15, Номер квартири: 154, Площа квартири: 56,00, Адреса будинку: Vyshneva, 15
Ім'я: Наталія, Прізвище: Бондар, Email: nataliya.bondar@gmail.com, Номер будинку: B15, Номер квартири: 155, Площа квартири: 38,00, Адреса будинку: Vyshneva, 15
Ім'я: Юрій, Прізвище: Гордієнко, Email: yuriy.gordiyenko@gmail.com, Номер будинку: B16, Номер квартири: 156, Площа квартири: 98,00, Адреса будинку: Vyshneva, 16
Ім'я: Світлана, Прізвище: Карпенко, Email: svitlana.karpenko@gmail.com, Номер будинку: B16, Номер квартири: 157, Площа квартири: 62,00, Адреса будинку: Vyshneva, 16
Ім'я: Тетяна, Прізвище: Лисенко, Email: tetiana.lysenko@gmail.com, Номер будинку: B16, Номер квартири: 158, Площа квартири: 120,00, Адреса будинку: Vyshneva, 16
Ім'я: Денис, Прізвище: Семененко, Email: denys.semenenko@gmail.com, Номер будинку: B17, Номер квартири: 159, Площа квартири: 34,00, Адреса будинку: Vyshneva, 17
Ім'я: Марія, Прізвище: Шаповалова, Email: mariya.shapovalova@gmail.com, Номер будинку: B17, Номер квартири: 160, Площа квартири: 67,00, Адреса будинку: Vyshneva, 17
Ім'я: Андрій, Прізвище: Савченко, Email: andriy.savchenko@gmail.com, Номер будинку: B17, Номер квартири: 161, Площа квартири: 98,70, Адреса будинку: Vyshneva, 17
Ім'я: Дмитро, Прізвище: Федоров, Email: dmytro.fedorov@gmail.com, Номер будинку: B20, Номер квартири: 171, Площа квартири: 45,00, Адреса будинку: Vyshneva, 20
Ім'я: Ольга, Прізвище: Мельник, Email: olga.melnik@gmail.com, Номер будинку: B18, Номер квартири: 163, Площа квартири: 78,00, Адреса будинку: Vyshneva, 18
Ім'я: Михайло, Прізвище: Захарченко, Email: mikhailo.zakharchenko@gmail.com, Номер будинку: B18, Номер квартири: 164, Площа квартири: 34,00, Адреса будинку: Vyshneva, 18
Ім'я: Аліна, Прізвище: Павленко, Email: alina.pavlenko@gmail.com, Номер будинку: B19, Номер квартири: 165, Площа квартири: 56,00, Адреса будинку: Vyshneva, 19
Ім'я: Олег, Прізвище: Красненко, Email: oleg.krasnenko@gmail.com, Номер будинку: B20, Номер квартири: 170, Площа квартири: 48,00, Адреса будинку: Vyshneva, 20
Ім'я: Марія, Прізвище: Сидоренко, Email: maria.sydorenko@gmail.com, Номер будинку: B19, Номер квартири: 166, Площа квартири: 64,00, Адреса будинку: Vyshneva, 19
Ім'я: Наталія, Прізвище: Денисенко, Email: nataliya.denisenko@gmail.com, Номер будинку: B19, Номер квартири: 167, Площа квартири: 68,00, Адреса будинку: Vyshneva, 19
